Features,1,2,3,4,5,Mode,Mean,Std
Net_working_capital_median,65,39,45,40,42,39,46.2,10.756393447619885
Average_payment_period_mean,57,186,39,64,70,39,83.2,58.631902578715625
Equity_Ratio_max,40,28,40,25,51,40,36.8,10.473776778220929
ROA_median,28,26,25,41,41,41,32.2,8.105553651663778
ROI_min,46,41,61,70,87,41,61.0,18.587630295441105
Net_profit_margin_mean,123,42,116,103,99,42,96.6,32.02030605725061
EPS_growth_max,62,59,46,43,47,43,51.4,8.502940667792526
Net_profit_margin_median,153,43,110,130,132,43,113.6,42.300118203144535
Profit_margin_growth_rate_mean,44,122,59,48,93,44,73.2,33.402095742632675
ROE_mean,47,45,66,52,53,45,52.6,8.203657720797475
Total_income_growth_max,61,76,44,45,45,45,54.2,14.096098751072939
Sales_growth_rate_mean,45,70,51,187,59,45,82.4,59.218240433163835
Profit_margin_growth_rate_max,56,170,55,47,98,47,85.2,51.42664678938342
ROE_median,50,48,63,69,74,48,60.8,11.476062042355817
Beta_min,48,71,148,131,63,48,92.2,44.37003493349988
Current_assets_ratio_median,124,92,143,98,48,48,101.0,36.02776706930364
ROE_max,67,49,71,51,61,49,59.8,9.654014708917737
Sale_to_current_assets_max,49,106,60,87,62,49,72.8,23.188359148503803
Return_mean,77,127,49,84,97,49,86.8,28.51666179622012
Profit_margin_before_interest_and_taxes_min,93,164,78,49,125,49,101.8,44.268498958062715
Current_assets_ratio_mean,131,102,147,109,49,49,107.6,37.30683583473677
EPS_max,69,75,85,50,56,50,67.0,14.159802258506296
Sale_to_current_assets_mean,51,119,62,85,65,51,76.4,26.79178978717174
ROA_min,97,52,105,114,120,52,97.6,26.94995361777085
Return_ratio_without_risk_min,80,107,146,180,52,52,113.0,51.048996072400875
Return_from_market_median,139,58,53,136,60,53,89.2,44.17804884781581
Operating_cash_flow_to_sales_max,154,167,102,53,161,53,127.4,48.95201732308894
Net_profit_margin_min,146,53,138,166,141,53,128.8,43.75728510773949
EPS_mean,74,62,80,54,71,54,68.2,10.256705123966467
Sale_to_current_assets_min,54,135,70,90,118,54,93.4,33.343665065496324
P_to_S_median,159,54,75,119,106,54,102.6,40.57462261069103
Return_ratio_without_risk_median,188,72,64,55,66,55,89.0,55.67764362830022
Net_profit_margin_max,120,55,151,92,73,55,98.2,38.088055870574436
Quick_Ratio_max,87,74,56,91,72,56,76.0,13.838352503098047
Sale_to_current_assets_median,59,123,67,81,57,57,77.4,27.180875629751153
Net_profit_to_sale_median,63,83,100,60,76,60,76.4,16.195678435928517
P_to_S_min,166,60,82,117,115,60,108.0,40.23058537978288
Working_capital_return_mean,84,73,87,61,89,61,78.8,11.713240371477058
P_to_S_mean,184,61,154,149,123,61,134.2,46.30010799123475
Net_profit_to_sale_mean,82,87,83,62,86,62,80.0,10.27131929208707
Stock_market_value_max,92,80,86,63,83,63,80.8,10.89495295997188
EPS_median,102,63,91,77,101,63,86.8,16.67932852365466
Return_ratio_without_risk_mean,64,130,76,139,67,64,95.2,36.286361074100554
Operating_assets_Ratio_mean,186,112,74,153,64,64,117.8,51.809265580588956
Cost_to_sales_ratio_min,142,64,176,120,162,64,132.8,43.87710108929258
DPS_max,99,98,92,65,78,65,86.4,14.604793733565701
P_to_B_mean,149,84,65,97,69,65,92.8,33.885099970340946
Average_payment_period_min,105,65,109,188,68,65,107.0,49.63365793491348
Stock_market_value_median,76,89,95,66,82,66,81.6,11.282730166054668
Net_profit_to_Gross_profit_median,66,133,177,105,130,66,122.2,40.727140827708496
DPS_mean,98,85,89,67,108,67,89.4,15.339491516996253
Stock_market_value_min,72,90,111,68,91,68,86.4,17.21336689901194
Total_asset_turnover_min,73,155,68,106,173,68,115.0,47.48157537403324
Profit_margin_before_interest_and_taxes_max,162,68,180,121,100,68,126.2,45.488460075056395
Operating_cash_flow_to_sales_min,68,144,150,163,152,68,135.4,38.298825047251775
EPS_min,116,69,134,135,112,69,113.2,26.789923478800755
Working_capital_return_max,90,94,97,71,104,71,91.2,12.397580409095962
Operating_profit_to_sale_median,71,120,160,94,116,71,112.2,33.12400941915094
Net_working_capital_max,107,96,72,75,105,72,91.0,16.537835408541227
Net_profit_to_Gross_profit_max,89,97,93,73,96,73,89.6,9.787747442593725
Current_debt_to_total_debt_Ratio_max,108,117,73,182,169,73,129.8,45.07438296859981
Quick_Ratio_mean,91,82,141,110,75,75,99.8,26.508489206290125
Net_profit_to_Gross_profit_min,75,168,155,151,177,75,145.2,40.58571177150895
Gross_profit_margin_min,152,180,137,76,151,76,139.2,38.62253228362946
Net_profit_to_sale_min,78,104,122,82,107,78,98.6,18.35211159512714
Operating_profit_margin_min,133,188,132,78,88,78,123.8,43.74014174645528
Operating_profit_margin_max,140,78,168,179,185,78,150.0,43.800684926151554
Net_working_capital_mean,101,79,48,58,79,79,73.0,20.65187642806338
Operating_profit_margin_median,100,152,115,79,138,79,116.8,29.166761904606414
P_to_E_mean,134,154,112,168,80,80,129.6,34.85398112124352
Net_profit_to_sale_max,86,81,77,59,81,81,76.8,10.449880382090505
Longterm_debt_to_equity_ratio_mean,81,138,164,173,167,81,144.6,37.990788357179426
Working_capital_return_min,175,178,119,83,117,83,134.4,41.02194534636308
Operating_profit_to_sale_min,83,162,153,150,175,83,144.6,35.781280021821466
Current_assets_ratio_min,130,121,178,145,85,85,131.8,33.98087697514589
Operating_profit_to_sale_mean,88,108,121,86,109,86,102.4,14.976648490233053
Profit_margin_before_interest_and_taxes_mean,150,86,140,160,180,86,143.2,35.230668458035254
Stock_market_value_mean,94,88,88,72,90,88,86.4,8.414273587185052
Profit_margin_before_interest_and_taxes_median,117,91,152,127,178,91,133.0,33.324165405903265
Current_debt_to_total_debt_Ratio_min,172,185,184,137,92,92,154.0,39.74292389847531
DPS_median,115,101,113,93,144,93,113.2,19.421637418096346
Operating_profit_to_sale_max,96,95,94,74,94,94,90.6,9.316651759081694
Capital_median,95,116,136,100,126,95,114.6,17.227884373886425
P_to_E_max,163,140,156,164,95,95,143.6,28.814926687395893
Quick_Ratio_min,183,176,98,158,157,98,154.4,33.4858178935501
ROE_min,161,99,181,124,183,99,149.6,36.902574435938746
P_to_B_median,157,171,99,181,184,99,158.4,34.83963260426263
Cash_flow_returns_to_sales_max,147,100,183,138,176,100,148.8,33.20692698820534
Operating_profit_margin_mean,110,141,123,101,146,101,124.2,19.357169214531346
Cost_to_sales_ratio_max,169,181,101,176,124,101,150.2,35.61881525261614
Quick_Ratio_median,104,110,185,146,102,102,129.4,35.84410690755176
Gross_profit_margin_median,112,157,169,102,172,102,142.4,32.9893922344744
Return_median,103,103,84,143,55,103,97.6,32.09049703572695
Current_assets_ratio_max,178,160,163,174,103,103,155.6,30.336446726668566
Return_ratio_without_risk_max,177,153,103,183,182,103,159.6,33.9087009482817
DPS_min,125,115,144,104,122,104,122.0,14.713938969562161
Total_asset_turnover_mean,138,150,104,178,159,104,145.8,27.55358415887124
Gross_profit_margin_max,119,105,174,175,171,105,148.8,33.988233257996804
Return_from_market_min,135,148,106,126,158,106,134.6,20.119642143934865
Capital_min,106,143,182,144,166,106,148.2,28.65658737533135
Sales_growth_rate_max,141,109,107,185,133,107,135.0,31.622776601683793
Total_asset_turnover_max,126,145,108,159,147,108,137.0,20.062402647738878
Sales_growth_rate_min,176,184,114,108,153,108,147.0,34.84250278036869
Net_return_on_working_capital_mean,148,147,142,132,110,110,135.8,15.754364474646383
Current_ratio_median,111,118,58,96,111,111,98.8,24.1805707128678
P_to_S_max,181,111,158,184,150,111,156.8,29.456747953567447
Current_debt_to_total_debt_Ratio_median,155,125,172,112,154,112,143.6,24.43972176601035
P_to_B_max,113,113,126,107,84,113,108.6,15.404544783926593
Capital_mean,114,124,159,113,143,113,130.6,19.932385707686876
Operating_assets_Ratio_median,174,173,117,172,113,113,149.8,31.807231882073612
Net_profit_to_Gross_profit_mean,85,114,131,89,114,114,106.6,19.243180610283737
Gross_profit_margin_mean,121,159,157,115,170,115,144.4,24.69412885687608
Return_min,118,128,127,118,148,118,127.8,12.255610959882825
P_to_B_min,170,151,118,177,163,118,155.8,23.209911675833666
Net_return_on_working_capital_min,145,142,135,129,119,119,134.0,10.44030650891055
Operating_cash_flow_to_sales_median,122,165,187,156,181,122,162.2,25.645662401271682
Fixed_asset_turnover_median,180,175,173,122,174,122,164.8,24.07695994098923
Longterm_debt_to_equity_ratio_max,167,161,149,123,140,123,148.0,17.46424919657298
Cash_flow_returns_to_sales_min,144,163,125,125,142,125,139.8,15.801898620102584
Capital_max,137,126,188,128,155,126,146.8,25.723530084341068
EPS_growth_min,128,174,162,152,127,127,148.6,20.77979788159644
Profit_margin_growth_rate_min,156,172,186,165,128,128,161.4,21.651789764358973
Liquidity_ratios_min,129,179,129,116,139,129,138.4,24.120530674095875
Total_income_growth_min,132,177,166,162,129,129,153.2,21.463923220138486
Fixed_asset_turnover_max,168,158,130,169,160,130,157.0,15.84297951775486
Cost_to_sales_ratio_mean,158,132,161,154,168,132,154.6,13.63084736911099
Operating_assets_Ratio_min,151,182,179,133,156,133,160.2,20.437710243566915
Current_ratio_min,185,183,133,170,134,133,161.0,25.758493744782516
Cost_to_sales_ratio_median,164,134,171,157,165,134,158.2,14.411800720243114
Operating_cash_flow_to_sales_mean,136,146,175,141,186,136,156.8,22.264321233758736
Cash_flow_returns_to_sales_mean,187,136,167,171,137,136,159.6,22.37856116911898
Cash_flow_returns_to_sales_median,173,166,170,167,136,136,162.4,15.009996668887037
Fixed_asset_turnover_mean,182,169,139,140,188,139,163.6,23.04994577000128
P_to_E_median,171,149,96,148,149,149,142.6,27.790286072654954
Current_debt_to_total_debt_Ratio_mean,165,156,165,186,131,165,160.6,19.882152800941853
Average_payment_period_max,179,131,124,155,179,179,153.6,25.880494585691363
Fixed_asset_turnover_min,160,187,128,161,187,187,164.6,24.378269011560274
