Features,1,2,3,4,5,Mode,Mean,Std
Beta_max,52,122,113,105,107,52,99.8,27.526351011349107
Net_return_on_working_capital_max,143,145,139,52,142,52,124.2,40.41905491225642
Net_profit_margin_mean,53,96,75,91,72,53,77.4,17.03819239238717
Operating_profit_margin_median,60,170,180,53,171,53,126.8,64.34050046432651
Cost_to_sales_ratio_median,119,54,105,163,109,54,110.0,38.897300677553446
Current_assets_ratio_max,55,141,80,69,153,55,99.6,44.37116180583961
Current_debt_to_total_debt_Ratio_mean,124,107,129,55,178,55,118.6,44.286566812070674
Cash_to_total_assets_ratio_min,76,99,79,120,57,57,86.2,24.056184236075346
Cost_to_sales_ratio_mean,134,57,122,160,126,57,119.8,38.0946190425892
Gross_profit_margin_median,57,187,177,62,167,57,130.0,64.7688196588451
Fixed_asset_turnover_median,183,186,181,57,165,57,154.4,55.05270202269821
Current_ratio_max,85,124,121,58,111,58,99.8,27.958898404622452
Gross_profit_margin_mean,59,184,174,60,176,59,130.6,65.01384467942194
Operating_profit_margin_mean,68,165,188,59,187,59,133.4,64.54688218651619
ROE_max,108,60,93,83,67,60,82.2,19.408760908414532
Current_ratio_mean,61,67,69,82,63,61,68.4,8.23407554009556
Net_profit_margin_max,73,140,104,61,119,61,99.4,32.500769221666125
Quick_Ratio_max,65,87,78,80,76,65,77.2,7.981227975693965
EPS_max,93,71,108,72,65,65,81.8,18.074844397670482
P_to_B_max,151,123,142,65,90,65,114.2,36.09293559687269
Profit_margin_before_interest_and_taxes_max,66,119,88,81,104,66,91.6,20.525593779474445
Sales_growth_rate_min,187,156,97,132,66,66,127.6,47.658157748700276
P_to_E_median,165,177,182,66,172,66,152.4,48.70626243102626
Beta_min,114,134,167,67,188,67,134.0,47.15400301140933
P_to_B_median,157,188,68,180,185,68,155.6,50.46087593373702
Sale_to_current_assets_mean,2,70,70,75,81,70,59.6,32.516149833582695
Net_working_capital_max,123,115,111,108,70,70,105.4,20.574255758107025
Working_capital_return_min,109,166,92,70,118,70,111.0,35.77708763999664
Operating_cash_flow_to_sales_mean,62,73,161,92,73,73,92.2,39.94621383810986
ROA_median,159,84,91,73,124,73,106.2,35.10982768399754
Current_debt_to_total_debt_Ratio_max,176,114,73,123,84,73,114.0,40.329889660151565
EPS_min,177,117,171,145,74,74,136.8,42.39339571206817
Return_from_market_median,172,135,164,74,177,74,144.4,42.582860401809555
Cash_flow_returns_to_sales_max,162,75,84,138,86,75,109.0,38.600518131237564
Net_profit_margin_min,77,168,175,151,179,77,150.0,42.190046219457976
Net_profit_to_sale_median,78,95,94,89,105,78,92.2,9.833615815151616
Sale_to_current_assets_median,3,79,77,79,82,79,64.0,34.14674215792775
Net_profit_to_sale_max,103,100,99,94,79,79,95.0,9.513148795220223
Net_profit_to_Gross_profit_median,79,157,145,154,162,79,139.4,34.32637469934744
Operating_profit_to_sale_median,82,142,132,140,148,82,128.8,26.780589986032794
EPS_mean,140,91,135,128,83,83,115.4,26.4253666010521
Working_capital_return_mean,84,97,85,101,103,84,94.0,8.94427190999916
Current_debt_to_total_debt_Ratio_median,170,155,183,84,166,84,151.6,39.09347771687753
Sales_growth_rate_max,122,85,74,85,98,85,92.8,18.403803954617644
Stock_market_value_max,107,98,101,90,85,85,96.2,8.757853618324527
Net_return_on_working_capital_min,86,127,86,77,89,86,93.0,19.53202498462461
Cash_flow_returns_to_sales_mean,179,86,98,182,134,86,135.8,44.47696032779219
Cash_flow_returns_to_sales_median,186,89,87,172,121,87,131.0,46.11398920067532
Sales_growth_rate_median,161,171,186,87,170,87,155.0,39.05764969887461
DPS_max,120,109,124,100,88,88,108.2,14.703741020570241
Sales_growth_rate_mean,137,144,131,88,163,88,132.6,27.682124195949992
Stock_market_value_min,90,121,118,102,131,90,112.4,16.28803241647069
Net_profit_to_Gross_profit_min,91,185,184,186,141,91,157.4,41.72888687707833
Net_profit_to_sale_mean,95,104,102,96,92,92,97.8,5.019960159204453
Net_profit_to_sale_min,92,129,119,118,130,92,117.6,15.339491516996253
ROA_min,171,92,144,179,128,92,142.8,35.02427729447105
Stock_market_value_median,116,128,115,93,129,93,116.2,14.515508947329405
DPS_mean,146,120,137,148,93,93,128.8,22.862633269157776
Cost_to_sales_ratio_max,184,93,187,173,181,93,163.6,39.809546593750596
ROE_mean,182,106,156,157,94,94,139.0,37.33630940518894
ROE_min,126,178,130,95,169,95,139.6,33.930811956096775
Operating_assets_Ratio_min,102,101,96,188,115,96,120.4,38.4356605250905
Total_income_growth_min,96,173,157,114,135,96,135.0,31.184932259025352
Operating_profit_to_sale_max,118,116,114,107,97,97,110.4,8.561541917201597
Operating_assets_Ratio_median,98,118,143,147,120,98,125.2,20.067386476569386
Stock_market_value_mean,113,111,110,99,101,99,106.8,6.340346993658943
Operating_profit_to_sale_min,100,183,179,187,147,100,159.2,36.69059825077809
Net_profit_to_Gross_profit_max,115,125,117,112,102,102,114.2,8.34865258589672
Working_capital_return_max,111,130,103,121,117,103,116.4,10.188228501560024
EPS_growth_min,104,169,152,110,132,104,133.4,27.50999818247904
Net_profit_to_Gross_profit_mean,105,138,127,133,137,105,128.0,13.564659966250536
Operating_profit_margin_max,139,105,128,159,112,105,128.6,21.593980642762464
Gross_profit_margin_max,106,154,160,126,143,106,137.8,21.98181066245454
DPS_median,175,133,159,168,110,110,149.0,26.99073915253156
P_to_E_max,135,113,155,183,157,113,148.6,26.206869328479506
Operating_cash_flow_to_sales_max,181,150,151,116,186,116,156.8,28.208154849263007
Capital_min,121,172,169,166,139,121,153.4,22.38972978845435
Operating_profit_to_sale_mean,110,132,123,125,125,125,123.0,8.031189202104505
DPS_min,125,163,125,164,146,125,144.6,19.269146322554096
Capital_median,127,148,141,149,182,127,149.4,20.23116407921205
Profit_margin_growth_rate_min,132,176,168,155,159,132,158.0,16.658331248957683
Capital_max,148,151,133,141,168,133,148.2,13.065221008463652
Cash_flow_returns_to_sales_min,185,167,172,143,133,133,160.0,21.42428528562855
Total_asset_turnover_mean,147,159,134,176,149,134,153.0,15.636495771111889
Total_asset_turnover_max,138,152,136,185,140,136,150.2,20.42547429069886
P_to_S_max,166,181,153,136,160,136,159.2,16.574076143182157
ROE_median,164,136,178,167,158,136,160.6,15.549919613940132
Capital_mean,142,153,138,144,184,138,152.2,18.606450494385005
EPS_median,178,162,176,161,138,138,163.0,16.0
P_to_E_mean,144,161,165,158,175,144,160.6,11.28273016605467
Net_return_on_working_capital_mean,156,146,146,174,144,146,153.2,12.537942414925983
P_to_E_min,154,147,158,178,152,147,157.8,11.966620241321273
P_to_S_mean,131,88,154,117,154,154,128.8,27.743467699622556
Longterm_debt_to_equity_ratio_max,160,175,170,165,156,156,165.2,7.596051605933177
Operating_assets_Ratio_mean,152,174,150,127,174,174,155.4,19.616319736382767
P_to_B_mean,168,180,116,109,180,180,150.6,35.210793799629116
