Features,1,2,3,4,5,Mode,Mean,Std
Net_profit_to_sale_max,27,20,29,23,22,20,24.2,3.7013511046643495
EPS_growth_median,33,37,57,50,20,20,39.4,14.536161804272819
Net_working_capital_max,34,22,31,27,28,22,28.4,4.505552130427524
Net_working_capital_mean,38,24,34,25,29,24,30.0,5.958187643906492
P_to_S_mean,25,82,73,117,70,25,73.4,32.89832822500256
Stock_market_value_max,40,26,33,32,30,26,32.2,5.118593556827891
Working_capital_return_median,49,35,131,26,38,26,55.8,42.833398184127304
Stock_market_value_mean,41,28,27,33,31,27,32.0,5.5677643628300215
Operating_assets_Ratio_mean,30,29,30,58,37,30,36.8,12.275992831539126
Stock_market_value_median,43,31,19,31,27,31,30.2,8.67179335547152
P_to_B_median,31,34,48,76,40,31,45.8,18.088670487352022
Return_from_market_mean,13,32,32,46,33,32,31.2,11.77709641634983
Total_income_growth_median,42,52,56,91,32,32,54.6,22.37856116911898
Net_working_capital_median,48,33,35,15,35,35,33.2,11.7983049630021
Current_debt_to_total_debt_Ratio_min,64,47,37,35,42,35,45.0,11.597413504743201
Working_capital_return_mean,35,40,105,52,46,35,55.6,28.342547521350298
Beta_mean,36,42,67,81,84,36,62.0,22.056745000112777
Average_payment_period_median,149,54,36,37,66,36,68.4,46.75788703523717
Return_ratio_without_risk_median,70,36,59,135,61,36,72.2,37.278680234149924
Sale_to_current_assets_max,73,106,79,36,98,36,78.4,27.263528751795867
Sale_to_current_assets_mean,66,69,65,38,72,38,62.0,13.693063937629153
DuPont_Ratio_min,112,38,106,40,79,38,75.0,35.14256678161116
Total_asset_turnover_max,46,39,38,125,39,39,57.4,37.92492584040211
Working_capital_return_max,39,58,104,71,57,39,65.8,24.201239637671456
Operating_cash_flow_to_sales_min,72,46,117,39,64,39,67.6,30.648001566170674
Total_asset_turnover_mean,55,41,40,128,41,41,61.0,37.96709101313926
Current_debt_to_total_debt_Ratio_mean,92,81,41,48,54,41,63.2,22.106560112328648
Profit_margin_before_interest_and_taxes_mean,129,62,130,41,110,41,94.4,40.64849320700584
EPS_median,164,87,42,63,69,42,85.0,46.994680550036726
Profit_margin_before_interest_and_taxes_median,144,65,155,42,105,42,102.2,48.86409724941207
Sale_to_current_assets_median,61,60,53,43,63,43,56.0,8.18535277187245
Profit_margin_growth_rate_median,47,116,146,165,43,43,103.4,56.11862435947624
Fixed_asset_turnover_median,109,127,43,172,107,43,111.6,46.41982335166734
P_to_E_median,76,44,50,88,56,44,62.8,18.525657883055057
Net_working_capital_min,91,104,44,53,87,44,75.8,25.897876360813832
Equity_Ratio_min,59,151,54,168,44,44,95.2,59.25116032619108
Profit_margin_before_interest_and_taxes_min,156,100,188,44,74,44,112.4,58.99830506039983
Cash_flow_returns_to_sales_max,44,169,112,183,133,44,128.2,54.86984599941939
P_to_E_max,78,45,58,74,68,45,64.6,13.29661611087573
Debt_to_total_assets_ratio_min,56,136,45,180,51,45,93.6,60.93685256066316
Debt_to_equity_ratio_min,60,152,55,169,45,45,96.2,59.25116032619108
P_to_B_min,45,64,157,164,99,45,105.8,53.61622888641087
Debt_to_total_assets_ratio_mean,54,135,46,179,58,46,94.4,59.38265740096177
Debt_to_total_assets_ratio_median,52,131,47,184,55,47,93.8,61.16126224989148
Net_profit_margin_mean,152,53,122,47,114,47,97.6,45.75259555478793
Return_ratio_without_risk_mean,51,186,77,163,47,47,104.8,65.17054549411107
Net_return_on_working_capital_min,122,105,94,146,48,48,103.0,36.46916505762094
Equity_Ratio_max,155,48,184,105,186,48,135.6,58.88378384580937
Sale_to_current_assets_min,69,70,80,49,77,49,69.0,12.103718436910205
Debt_to_total_assets_ratio_max,57,141,49,175,71,49,98.6,56.096345692032386
Debt_to_equity_ratio_max,154,49,185,104,187,49,135.8,58.98898202206917
Return_min,50,57,51,90,52,50,60.0,16.98528775146303
Cost_to_sales_ratio_min,139,91,85,57,50,50,84.4,35.210793799629116
DuPont_Ratio_mean,166,50,159,61,171,50,121.4,60.43426180570091
Net_profit_margin_median,173,55,137,51,101,51,103.4,52.60038022676262
DuPont_Ratio_median,130,51,145,64,152,51,108.4,47.363488047228955
Current_debt_to_total_debt_Ratio_max,133,171,52,124,142,52,124.4,44.15087768097029
P_to_S_median,53,154,113,103,116,53,107.8,36.24499965512484
Longterm_debt_to_equity_ratio_min,110,182,61,155,53,53,112.2,56.645388161791246
Total_asset_turnover_min,116,150,114,54,166,54,120.0,43.08131845707603
Operating_profit_margin_max,119,109,164,55,153,55,120.0,42.930175867331364
ROA_median,185,56,66,56,93,56,91.2,54.57746787823708
ROE_max,58,72,119,87,62,58,79.6,24.70425064639687
P_to_E_mean,89,59,64,82,65,59,71.8,12.94990347454374
Current_assets_ratio_max,67,68,180,133,59,59,101.4,53.08766335034911
Net_profit_margin_min,170,76,186,59,92,59,116.6,57.530861283314714
DPS_median,114,98,60,78,80,60,86.0,20.639767440550294
Total_asset_turnover_median,105,123,75,60,128,60,98.2,29.77750829065454
ROI_median,165,61,62,80,100,61,93.6,42.96859318153202
Liquidity_ratios_mean,62,77,124,154,169,62,117.2,46.76216419286002
Operating_profit_margin_median,134,110,168,62,140,62,122.8,39.764305601883706
Quick_Ratio_mean,117,63,83,94,129,63,97.2,26.385602134497518
Fixed_asset_turnover_max,148,101,63,121,130,63,112.6,32.48538132760642
ROA_max,63,163,182,167,124,63,139.8,47.976035684495656
Return_from_market_median,65,71,70,166,81,65,90.6,42.54762037999305
Operating_cash_flow_to_sales_median,131,86,110,65,76,65,93.6,26.707676799002943
Operating_profit_margin_mean,124,122,166,66,164,66,128.4,40.728368491752775
Longterm_debt_to_equity_ratio_median,146,66,187,89,167,66,131.0,51.58972765968047
Cash_flow_returns_to_sales_min,93,88,144,143,67,67,107.0,34.72031105851444
Current_debt_to_total_debt_Ratio_median,161,175,68,67,78,67,109.8,53.53223328051988
Gross_profit_margin_max,74,176,161,68,182,68,132.2,56.42871609384711
EPS_max,68,168,173,188,154,68,150.2,47.53104248804143
Gross_profit_margin_min,94,139,69,141,179,69,124.4,43.1949071072042
Gross_profit_margin_median,118,146,153,69,165,69,130.2,38.32362195826485
ROA_mean,143,74,82,70,134,70,100.6,35.01142670614838
Return_median,71,67,71,108,60,71,75.4,18.769656363396745
Equity_Ratio_median,126,85,148,72,159,72,118.0,38.242646351945886
Current_assets_ratio_min,121,185,72,130,168,72,135.2,44.09875281683146
Cost_to_sales_ratio_median,159,119,115,86,73,73,110.4,33.35865704730932
Debt_to_equity_ratio_median,127,84,149,73,160,73,118.6,38.682037174895534
Cash_to_total_assets_ratio_max,158,143,108,97,75,75,116.2,33.90722636843067
Longterm_debt_to_equity_ratio_mean,128,75,175,102,111,75,118.2,37.09043003255692
P_to_S_min,80,153,181,75,139,75,125.6,46.47364844726525
Beta_max,75,158,150,151,137,75,134.2,33.95143590483325
ROI_mean,178,90,76,100,145,76,117.8,42.4287638283276
Profit_margin_before_interest_and_taxes_max,98,99,111,77,143,77,105.6,24.22395508582362
Liquidity_ratios_median,113,78,96,127,170,78,116.8,34.95282535074954
Profit_margin_growth_rate_max,150,164,78,145,147,78,136.8,33.70014836762592
Net_profit_margin_max,79,103,140,95,157,79,114.8,32.51461209979292
Working_capital_return_min,175,144,160,79,118,79,135.2,37.851023764225985
Debt_to_equity_ratio_mean,163,79,178,84,172,79,135.2,49.34267929490656
Equity_Ratio_mean,162,80,179,85,173,80,135.8,49.06831971853122
ROE_mean,81,157,147,170,126,81,136.2,34.7951145996101
Total_income_growth_max,181,117,81,185,174,81,147.6,46.32278057284558
DuPont_Ratio_max,86,102,120,122,82,82,102.4,18.56879102149626
Return_ratio_without_risk_min,82,133,165,157,123,82,132.0,32.77193921634788
Fixed_asset_turnover_mean,87,83,39,161,83,83,90.6,44.009089970141396
Sales_growth_rate_min,83,124,134,153,115,83,121.8,25.878562556679995
Gross_profit_margin_mean,95,170,136,83,184,83,133.6,44.5005617942066
EPS_growth_min,132,121,84,112,89,84,107.6,20.59854363784003
Net_return_on_working_capital_mean,84,108,141,140,85,84,111.6,28.07668071549769
Cost_to_sales_ratio_max,85,140,156,171,136,85,137.6,32.5161498335827
P_to_E_min,96,93,86,109,125,86,101.8,15.417522498767433
Operating_profit_margin_min,101,184,87,120,185,87,135.4,46.32817717113419
Longterm_debt_to_equity_ratio_max,115,95,123,114,88,88,107.0,14.781745499094482
EPS_mean,111,148,88,116,138,88,120.2,23.605084198112916
ROI_max,88,188,171,174,103,88,144.8,45.767892675979745
Profit_margin_growth_rate_min,186,111,89,106,91,89,116.6,39.92868642968361
Quick_Ratio_max,174,89,99,110,127,89,119.8,33.41706151055176
Total_income_growth_min,147,129,90,111,96,90,114.6,23.564804263986577
EPS_growth_mean,90,178,138,160,104,90,134.0,36.959437225152655
Liquidity_ratios_max,169,177,154,148,90,90,147.6,34.20964776199837
EPS_growth_max,141,172,91,156,150,91,142.0,30.667572450391308
ROI_min,182,138,92,96,146,92,130.8,37.48599738569057
DPS_min,172,161,95,92,144,92,132.8,37.25184559186296
Operating_cash_flow_to_sales_mean,157,132,118,93,178,93,135.6,33.14060952969936
Current_ratio_max,120,94,97,113,122,94,109.2,12.988456413292536
Cash_flow_returns_to_sales_median,107,96,177,132,94,94,121.2,34.665544853643944
Operating_assets_Ratio_min,188,173,116,162,95,95,146.8,39.51835016799158
Current_assets_ratio_median,167,114,100,176,97,97,130.8,37.837811776052796
EPS_min,97,187,163,147,176,97,154.0,35.185224171518364
Quick_Ratio_median,77,73,98,98,151,98,99.4,31.085366332086227
Profit_margin_growth_rate_mean,99,183,103,152,117,99,130.8,35.87756959438585
ROE_min,140,166,139,99,163,99,141.4,26.819768828235638
Cash_flow_returns_to_sales_mean,100,113,174,139,102,100,125.6,31.19775632958242
ROA_min,123,145,125,101,148,101,128.4,19.047309521294604
Operating_assets_Ratio_median,106,134,101,158,181,101,136.0,34.05143168796284
Average_payment_period_mean,102,126,133,138,120,102,123.8,13.971399357258385
DPS_mean,125,162,102,129,141,102,131.8,22.01590334281108
Total_income_growth_mean,103,180,107,186,112,103,137.6,41.620908207294086
DPS_max,104,159,176,178,158,104,155.0,29.9833287011299
Current_ratio_min,153,155,162,181,106,106,151.4,27.682124195949992
Cost_to_sales_ratio_mean,145,149,151,107,108,107,132.0,22.47220505424423
Sales_growth_rate_mean,108,174,172,136,156,108,149.2,27.62607463973121
Current_assets_ratio_mean,177,120,109,187,109,109,140.4,38.40312487285377
Cash_to_total_assets_ratio_min,137,112,135,149,177,112,142.0,23.706539182259394
Net_return_on_working_capital_max,180,130,126,142,113,113,138.2,25.55777768116782
Quick_Ratio_min,142,115,127,126,180,115,138.0,25.367301787931645
Current_ratio_mean,187,118,129,118,183,118,147.0,35.00714212842859
Average_payment_period_max,168,125,132,137,119,119,136.2,19.044684297724654
Return_from_market_min,138,147,121,150,132,121,137.6,11.717508267545622
Operating_cash_flow_to_sales_max,160,167,142,177,121,121,153.4,22.165288177689007
ROE_median,135,165,128,123,175,123,145.2,23.306651411131543
Sales_growth_rate_median,151,142,167,131,131,131,144.4,15.15915564930976
Return_ratio_without_risk_max,136,181,143,134,162,134,151.2,19.99249859322241
Current_ratio_median,176,156,169,144,135,135,156.0,16.98528775146303
Cash_to_total_assets_ratio_mean,184,137,170,159,149,137,159.8,18.212632978237938
Sales_growth_rate_max,171,160,158,173,155,155,163.4,8.08084154033477
Net_return_on_working_capital_median,179,179,152,34,161,179,141.0,60.946698023764995
Cash_to_total_assets_ratio_median,183,128,183,182,188,183,172.8,25.1535285795055
