Features,1,2,3,4,5,Mode,Mean,Std
ROI_median,83,34,48,38,59,34,52.4,19.65451602049768
Net_return_on_working_capital_min,46,55,44,35,51,35,46.2,7.5960516059331775
Cost_to_sales_ratio_max,35,103,75,122,107,35,88.4,34.34821683872396
Net_return_on_working_capital_median,155,35,110,101,117,35,103.6,43.517812445020716
P_to_S_mean,36,99,60,57,53,36,61.0,23.18404623873926
Sale_to_current_assets_mean,45,137,36,98,41,36,71.4,44.39932431918305
ROA_max,139,36,81,59,99,36,82.8,39.30903204099536
EPS_max,166,124,136,36,168,36,126.0,53.777318638995006
ROA_mean,135,37,63,55,83,37,74.6,37.587231874667225
Operating_assets_Ratio_mean,82,119,37,103,45,37,77.2,35.66791275081849
P_to_S_max,38,52,38,31,38,38,39.4,7.668115805072326
Gross_profit_margin_max,186,38,141,66,98,38,105.8,58.97626641285459
Current_debt_to_total_debt_Ratio_min,58,70,39,44,80,39,58.2,17.210461934532727
Average_payment_period_min,42,100,49,69,39,39,59.8,25.33179819910146
Total_income_growth_median,39,123,61,87,43,39,70.6,34.88266044899672
ROI_max,161,39,93,56,137,39,97.2,51.85749704719656
Net_working_capital_min,173,185,183,39,109,39,137.8,63.444463903480184
EPS_growth_median,40,106,53,85,44,40,65.6,28.675773747189456
Working_capital_return_mean,165,90,94,67,40,40,91.2,46.53708198845303
DPS_mean,137,108,118,40,106,40,101.8,36.663333181804404
Cash_flow_returns_to_sales_mean,169,40,125,120,101,40,111.0,46.856162881738406
P_to_B_median,41,60,45,41,36,41,44.6,9.181503144910424
ROA_median,117,41,58,54,81,41,70.2,29.878085614710994
Total_income_growth_mean,54,89,51,65,42,42,60.2,18.074844397670482
Total_asset_turnover_max,90,64,57,42,48,42,60.2,18.660117898877274
Sale_to_current_assets_min,51,155,42,93,49,42,78.0,47.486840282335066
Beta_max,138,42,109,167,115,42,114.2,46.35407209728181
Return_ratio_without_risk_median,72,97,43,136,70,43,83.6,34.97570585420686
Operating_profit_margin_mean,164,43,161,77,114,43,111.8,52.66592826486589
Operating_profit_margin_median,160,44,176,63,95,44,107.6,58.34637949350413
Total_asset_turnover_mean,89,74,65,45,54,45,65.4,17.155174146594955
Cash_flow_returns_to_sales_median,172,45,134,140,85,45,115.2,50.086924441414844
Sale_to_current_assets_max,50,175,46,126,56,46,90.6,57.4699921698272
DuPont_Ratio_median,87,46,70,96,155,46,90.8,40.628807513881085
Debt_to_total_assets_ratio_min,86,186,82,142,46,46,108.4,55.324497286464336
P_to_E_median,53,47,64,52,63,47,55.8,7.395944834840238
Cost_to_sales_ratio_mean,47,110,96,130,148,47,106.2,38.525316351718644
Cash_flow_returns_to_sales_min,84,48,73,70,75,48,70.0,13.360389215887388
DPS_median,97,69,84,48,72,48,74.0,18.261982367749674
Profit_margin_growth_rate_median,48,146,130,135,121,48,116.0,39.07044919117261
EPS_median,157,51,74,49,61,49,78.4,45.04220243282959
DuPont_Ratio_mean,111,49,77,106,175,49,103.6,47.029777800878456
Profit_margin_growth_rate_mean,49,145,128,134,120,49,115.2,38.1143017776792
Fixed_asset_turnover_mean,99,166,72,50,69,50,91.2,45.31776693527606
Total_asset_turnover_min,67,167,50,150,74,50,101.6,53.01226273231506
Gross_profit_margin_median,162,50,172,80,100,50,112.8,52.699146103139086
P_to_E_max,64,61,55,51,65,51,59.2,6.016643582596529
Current_debt_to_total_debt_Ratio_mean,73,68,52,78,108,52,75.8,20.474374227311564
Return_median,71,126,62,91,52,52,80.4,29.26260412198477
Cost_to_sales_ratio_median,52,116,106,146,171,52,118.2,44.9911102330227
P_to_E_mean,68,71,67,53,88,53,69.4,12.501999840025595
Sales_growth_rate_max,56,54,68,124,116,54,83.6,33.77573093213528
Total_asset_turnover_median,55,128,35,100,55,55,74.6,38.18769435302425
Return_from_market_median,77,94,56,86,73,56,77.2,14.377065069060514
Gross_profit_margin_mean,150,56,167,92,128,56,118.6,44.84194465007065
Debt_to_total_assets_ratio_mean,92,176,85,162,57,57,114.4,51.77161384388167
Net_profit_margin_min,188,57,133,107,94,57,115.8,48.78216887347261
ROI_min,176,58,88,94,89,58,101.0,44.26059195266146
Working_capital_return_max,163,120,113,105,58,58,111.8,37.51932835219735
Fixed_asset_turnover_max,185,163,98,58,103,58,121.4,51.674945573265965
EPS_growth_mean,59,93,59,82,47,59,68.0,18.867962264113206
P_to_B_min,60,112,76,95,82,60,85.0,19.6468827043885
Fixed_asset_turnover_median,88,164,83,60,71,60,93.2,41.04509714935512
Current_assets_ratio_max,79,117,116,180,60,60,110.4,45.948884643699465
Profit_margin_growth_rate_max,61,144,127,133,119,61,116.8,32.49923076012723
Sales_growth_rate_min,62,107,114,118,90,62,98.2,22.895414388038493
ROE_median,174,62,103,110,112,62,112.2,40.08989897717379
Debt_to_total_assets_ratio_median,98,180,91,165,62,62,119.2,50.77105474578995
EPS_growth_max,63,92,71,79,68,63,74.6,11.326958991715296
Sales_growth_rate_median,96,63,80,164,86,63,97.8,38.89987146508327
Return_ratio_without_risk_min,112,65,139,123,177,65,123.2,40.794607486774524
Liquidity_ratios_min,65,139,152,176,142,65,134.8,41.63772328069824
Total_income_growth_max,57,85,66,61,66,66,67.0,10.747092630102339
Cash_flow_returns_to_sales_max,66,72,143,182,146,66,121.8,50.62805546334957
DuPont_Ratio_max,187,66,117,177,165,66,142.4,50.44601074416093
DuPont_Ratio_min,93,67,78,90,188,67,103.2,48.514946150645166
Longterm_debt_to_equity_ratio_max,74,83,79,68,77,68,76.2,5.630275304103699
Operating_assets_Ratio_min,69,135,123,102,183,69,122.4,42.1283752357007
Equity_Ratio_median,132,80,105,72,182,72,114.2,44.5780214904161
Debt_to_equity_ratio_median,131,79,104,73,181,73,113.6,44.111223061710724
Equity_Ratio_max,105,76,90,74,135,74,96.0,25.10975905897944
Debt_to_equity_ratio_max,106,77,89,75,136,75,96.6,25.244801445050026
ROA_min,144,75,124,108,113,75,112.8,25.252722625491295
Return_ratio_without_risk_mean,75,130,185,163,104,75,131.4,44.173521480633624
Liquidity_ratios_mean,76,169,164,153,129,76,138.2,38.035509724466685
Equity_Ratio_min,108,157,121,170,78,78,126.8,37.23842101915708
Liquidity_ratios_median,78,171,163,166,130,78,141.6,39.042284769208884
Debt_to_equity_ratio_min,109,156,122,171,79,79,127.4,36.84155262743415
Cost_to_sales_ratio_min,80,136,145,158,147,80,133.2,30.752235691084316
Longterm_debt_to_equity_ratio_mean,107,84,101,81,125,81,99.6,17.966635745180564
Gross_profit_margin_min,81,113,92,156,170,81,122.4,39.119049068196944
ROE_mean,145,81,173,97,172,81,133.6,42.61220482443967
Sales_growth_rate_mean,101,82,95,186,126,82,118.0,41.237119201030524
Equity_Ratio_mean,142,88,112,83,184,83,121.8,41.89510711288372
Debt_to_equity_ratio_mean,141,87,111,84,185,84,121.6,42.18767592555911
Longterm_debt_to_equity_ratio_min,182,129,146,138,84,84,135.8,35.25904139366242
P_to_S_median,85,150,107,128,97,85,113.4,25.83215051055564
Current_debt_to_total_debt_Ratio_median,113,86,86,121,169,86,115.0,34.05143168796284
Longterm_debt_to_equity_ratio_median,127,101,132,89,152,89,120.2,25.193253065056922
Return_from_market_min,184,95,119,114,91,91,120.6,37.40721855471214
Current_assets_ratio_median,136,111,179,152,92,92,134.0,34.08078637590395
DPS_min,94,122,148,115,160,94,127.8,26.385602134497518
Quick_Ratio_median,95,181,177,168,144,95,153.0,35.46124645299429
Current_debt_to_total_debt_Ratio_max,102,105,97,131,138,97,114.6,18.555322686496186
EPS_min,103,98,187,109,127,98,124.8,36.4581952378337
Profit_margin_growth_rate_min,151,132,99,99,145,99,125.2,24.883729623993265
ROE_min,100,104,184,148,151,100,137.4,35.295892112255785
EPS_mean,152,91,102,46,102,102,98.6,37.746523018683455
EPS_growth_min,104,131,135,113,143,104,125.2,16.161683080669537
Current_assets_ratio_min,170,142,175,104,161,104,150.4,28.83227358360766
Operating_profit_margin_min,126,109,140,181,150,109,141.2,27.068431797945
ROE_max,120,187,129,112,110,110,131.6,31.863772532454472
Quick_Ratio_mean,110,188,178,160,149,110,157.0,30.347981810987037
P_to_S_min,146,172,126,143,111,111,139.6,22.941229260874405
Operating_cash_flow_to_sales_max,171,152,170,111,141,111,149.0,24.708298201211672
Total_income_growth_min,114,143,144,117,162,114,136.0,20.211382931407737
Operating_cash_flow_to_sales_median,177,153,115,139,123,115,141.4,24.71436829053092
P_to_E_min,116,121,108,116,96,116,111.4,9.787747442593725
Cash_to_total_assets_ratio_max,118,133,181,119,158,118,141.8,27.215804232100144
Current_ratio_min,168,149,137,145,118,118,143.4,18.201648277010516
Operating_assets_Ratio_median,129,168,120,125,157,120,139.8,21.323695739716417
Net_profit_margin_max,121,134,166,159,178,121,151.6,23.47977853387889
Liquidity_ratios_max,178,177,154,129,122,122,152.0,26.143832924802744
Net_profit_margin_mean,122,141,174,187,180,122,160.8,27.958898404622456
Current_ratio_mean,123,183,180,169,140,123,159.0,26.334388164527386
Profit_margin_before_interest_and_taxes_max,124,140,153,161,176,124,150.8,19.86705816169067
Current_ratio_median,154,178,160,157,124,124,154.6,19.48845812269406
Working_capital_return_min,148,125,169,144,139,125,145.0,15.98436736314578
Average_payment_period_max,125,184,186,183,166,125,168.8,25.762375666851845
Cash_to_total_assets_ratio_min,140,127,138,141,131,127,135.4,6.107372593840989
Quick_Ratio_max,130,159,188,149,174,130,160.0,22.371857321197094
Net_return_on_working_capital_max,133,148,131,137,187,131,147.2,23.199137915017445
Quick_Ratio_min,143,162,150,154,132,132,148.2,11.366617790706258
Operating_cash_flow_to_sales_mean,159,182,157,132,133,132,152.6,20.81585933849477
Average_payment_period_median,179,147,142,155,134,134,151.4,17.21336689901194
Current_ratio_max,134,138,171,178,179,134,160.0,22.169799277395363
Current_assets_ratio_mean,147,114,151,147,93,147,130.4,25.706030420895406
Profit_margin_before_interest_and_taxes_median,180,161,147,188,159,147,167.0,16.658331248957683
Profit_margin_before_interest_and_taxes_mean,158,151,149,184,173,149,163.0,15.049916943292411
Net_profit_margin_median,149,158,168,185,164,149,164.8,13.367871932360814
Cash_to_total_assets_ratio_mean,167,160,162,151,186,151,165.2,12.988456413292536
Profit_margin_before_interest_and_taxes_min,156,73,156,127,105,156,123.4,35.41609803465085
Cash_to_total_assets_ratio_median,181,170,158,179,156,156,168.8,11.562871615649808
Average_payment_period_mean,183,165,165,172,154,165,167.8,10.663020210053059
Debt_to_total_assets_ratio_max,91,173,87,173,64,173,117.6,51.61201410524492
Operating_cash_flow_to_sales_min,128,174,155,174,163,174,158.8,18.99210362229524
Return_ratio_without_risk_max,175,96,182,175,153,175,156.2,35.37937252128703
